Y,X,Treecover1985,Treecover1990,Treecover1995,Treecover2000,Treecover2005,Treecover2010,Treecover2015,Treecover2020
-19.7609932,-44.0773107,0.23924,0.2603,0.26876,0.29773,0.30653,0.33114,0.31357,0.37895
-16.1636395,-42.2951545,0.19111,0.2314,0.21109,0.22055,0.19469,0.19395,0.20462,0.22192
-21.12234,-44.2493905,0.25264,0.30772,0.3459,0.33276,0.29916,0.32885,0.30949,0.30416
-19.4493869,-44.2297862,0.19745,0.24593,0.25441,0.23495,0.2144,0.25084,0.25691,0.3053
-15.8106787,-42.2277023,0.11997,0.11724,0.11867,0.09725,0.08597,0.10895,0.10574,0.09075
-17.8637422,-41.5045224,0.27689,0.31715,0.3218,0.37051,0.29743,0.29331,0.34697,0.34283
-19.757762,-47.9493222,0.13343,0.13605,0.14374,0.14954,0.16528,0.15766,0.15511,0.1358
-18.9209723,-48.2734953,0.13383,0.12564,0.1354,0.12803,0.15375,0.1388,0.1443,0.12944
-16.3722711,-46.8977031,0.15978,0.15895,0.21968,0.14222,0.16235,0.19281,0.25622,0.24043
-21.5613492,-45.4380356,0.16388,0.16118,0.19729,0.17788,0.19451,0.19563,0.17802,0.16707
-23.1155209,-55.2280019,0.17089,0.20673,0.20629,0.24911,0.20801,0.21759,0.18425,0.23398
-20.0833667,-51.0998784,0.16146,0.18039,0.17358,0.15821,0.16054,0.14554,0.11741,0.10955
-20.4734009,-55.7911585,0.29499,0.31021,0.30649,0.33773,0.33438,0.30689,0.27481,0.26921
-21.1226784,-56.4892463,0.22835,0.22855,0.26765,0.24502,0.27336,0.25619,0.24378,0.24467
-20.4790909,-54.6137673,0.1644,0.17602,0.17801,0.17928,0.19081,0.17997,0.19019,0.20601
-19.0242272,-57.6346059,0.26189,0.31139,0.32487,0.32479,0.33045,0.31192,0.29144,0.33887
-18.5395194,-53.1389178,0.16793,0.1665,0.17059,0.16736,0.1583,0.13862,0.1263,0.11976
-18.514203,-54.74573,0.214,0.23373,0.21566,0.23924,0.22664,0.23911,0.26564,0.28399
-22.2351366,-54.7974591,0.18192,0.17664,0.17113,0.17145,0.17524,0.18333,0.16567,0.13913
-21.4790261,-56.1503439,0.26371,0.31947,0.29756,0.29905,0.29228,0.3127,0.29641,0.2577
-21.6204206,-55.1635619,0.16436,0.17111,0.2145,0.18569,0.1751,0.18379,0.14844,0.15592
-19.6803736,-51.1824422,0.2248,0.24989,0.23853,0.23135,0.23429,0.22189,0.20509,0.20418
-22.5362897,-55.7225905,0.18224,0.18872,0.20051,0.2055,0.20153,0.20449,0.21626,0.19474
-20.7898721,-51.7047943,0.15145,0.14779,0.1458,0.14796,0.14601,0.13209,0.113,0.10711
-9.8794219,-56.078627,0.24302,0.26526,0.30487,0.37304,0.2815,0.31866,0.22204,0.26277
-15.4647661,-58.3444713,0.16212,0.20018,0.15378,0.15498,0.14845,0.14522,0.14969,0.19172
-15.0685786,-57.1909659,0.19575,0.21022,0.23012,0.23532,0.24341,0.27342,0.21692,0.2886
-15.8884818,-52.2781862,0.24584,0.24992,0.27154,0.27787,0.29083,0.31457,0.32318,0.35975
-16.0780093,-57.67868,0.24897,0.24669,0.27711,0.27993,0.28422,0.29065,0.25784,0.29613
